date,ratio,day
2023-09-30,0.14814814814814814,1
2023-10-01,0.23493975903614459,2
2023-10-02,0.3558282208588957,3
2023-10-03,0.5086705202312138,4
2023-10-04,0.9571428571428572,5
2023-10-05,0.46853146853146854,6
2023-10-06,0.4025974025974026,7
2023-10-07,2.189681335356601,8
2023-10-08,2.851293103448276,9
2023-10-09,2.8210526315789473,10
2023-10-10,2.859781121751026,11
2023-10-11,3.388167388167388,12
2023-10-12,3.5506706408345754,13
2023-10-13,4.606409202958094,14
2023-10-14,7.738181818181818,15
2023-10-15,7.745562130177515,16
2023-10-17,9.27807486631016,17
2023-10-18,11.079738562091503,18
2023-10-19,10.988,19
2023-10-20,9.894285714285715,20
2023-10-21,12.445544554455445,21
2023-10-22,8.79601226993865,22
2023-10-23,8.985623003194888,23
2023-10-24,8.367029548989114,24
2023-10-25,8.444444444444445,25
2023-10-26,7.43298969072165,26
2023-10-27,11.659459459459459,27
2023-10-28,16.848214285714285,28
2023-10-29,12.001733102253032,29
2023-10-30,10.439469320066335,30
2023-10-31,10.013490725126475,31
2023-11-01,9.617504051863857,32
2023-11-02,10.44695652173913,33
2023-11-03,11.332695984703633,34
2023-11-04,12.927565392354126,35
2023-11-05,13.939962476547842,36
2023-11-06,12.293906810035843,37
2023-11-07,15.154818325434439,38
2023-11-08,17.696857670979668,39
2023-11-09,18.11111111111111,40
2023-11-10,22.696774193548386,41
2023-11-11,22.463291139240507,42
2023-11-12,17.49129593810445,43
2023-11-13,16.47292418772563,44
2023-11-14,12.253129346314326,45
2023-11-15,15.27,46
2023-11-16,14.822429906542055,47
2023-11-17,15.454954954954955,48
2023-11-18,19.25348189415042,49
2023-11-19,16.256900212314225,50
2023-11-20,15.386160714285714,51
2023-11-21,14.16600790513834,52
2023-11-22,17.698051948051948,53
2023-11-28,10.5,54
